Nombre Establecimiento,Dirección establecimiento,Teléfono 1,Teléfono 2,Actividad,Tipo de negocio,servicio Domicilio,Correo Electrónico,Número de empleados,¿Está registrado ante DIAN?,¿Está registrado ante Cámara de Comercio?,Su establecimiento se desarrolla en un domicilio:,El Canon de Arrendamiento es (COP):,Número de años en el Mercado,¿Tienen registro contable?,"Dando cumplimiento a la ley 1581/12, autorizo de manera voluntaria al Municipio de Cota el uso de mis datos personales, con estricta sujeción a estas normas y exclusivamente para temas relacionados con programas Institucionales.",¿Está afiliado a FENALCO?,De acuerdo a su actividad. ¿Usted se identifica en qué grupo?
Confecciones y arreglos Rada.,Calle 8 # 3A17 barrio centro.,3126780652,315849297,Otro,Confeccion y arreglo de ropa.,NO,Palma.rada@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
CONFIE ASESORES EN SEGUROS LTDA,CL 13 3 A 43,3115091511,8766073,Otro,AGENCIA DE SEGUROS,SI,CONFIESEGUROSLTDA@GMAIL.COM,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Congelados y Pola - Domicilios,Palo de Agua Katios casa 38 - 42 - 48,3167803586,3123755355,Otro,"Realizamos domicilios de comida congelada, Cerveza. Cota",SI,sandrabuenhombre@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Consultorio Medico Dr Orduz,Carrera 5 No 15 - 67,3008270610,3114493853,Otro,Consulta Medica General,SI,consultoriodoctororduz@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Consultorio odontológico,Carrera 5 #7-80.Local 226. Centro Comercial Terracotal,3106953485,3118016829,Otro,Consultorio odontológico,NO,blaneroba@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
CONSULTORIO ODONTOLÓGICO DRA ANDRÉA PEÑA ESTETICA DENTAL,Kra 5 # 10-72,3112165424,8767004,Otro,Consultorio Odontológico,NO,aandreita83@yahoo.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Consultorio Odontologico Dra Carmen Amalia Balsero Bonilla,Carrera 5 No 13-36,8775537,3144814209,Odontología,No Responde,NO,odontocabb@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,25,No,Acepto,No,Comerciante
Consultorio odontológico Dra Martha Zambrano,Calle13#3-18,3202002857,3115757492,Servicios de salud oral,No Responde,NO,yaismin20@hotmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,4,Sí,Acepto,No,Emprendedor
CONTENEDOR COTA,Carrera 5 #12-78,3203146629,3134828389,Restaurante,No Responde,NO,Olgachato@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Corporación Servideportes Colombia,Vereda rozo,3132700538,3112185621,Otro,Eventos y logistica,SI,Servideportecolombia@gmail. Com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Cota Biosegura,Calle 12#07-02,8767126,0,Venta,No Responde,SI,Cita.biosegura@gmail.com,1 a 5,No,No,Propio,No responde,1,No,Acepto,No,Emprendedor
Cota Protein Bar,Cr 5  7 80 cc terracota local 141,3133386325,3204736308,Otro,Club de nutricion / suplementos herbalife,NO,quiqueyclaudiav@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
COTANET.COM,Calle 11 No. 5-32,3192897180,0,Papelería e internet,No Responde,NO,cotanet.com@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,15,No,Acepto,No,Comerciante
Cotautos CarWash,calle 11 # 1-71,3005629666,8640316,Otro,Lavado  de vehiculos,NO,cotautos@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Creaciones A&C (Andrea Bolaños),Cll 7 b # 2 - 17 pueblo viejo,3103416907,0,Otro,"Venta de edredones, colchas, cortinas, almohadas, base cama y colchones.",SI,andreacbolanos.32@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Criadero San eduardo,Vereda la moya,3014395082,3115527001,Otro,"Alquiler pesebreras, entrenamiento equino y servicio veterinario",SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
CUBRECOL SAS,Autopista Medellín km 3.5 Centro Empresarial Metropolitano Módulo 1,3016070892,3112180111,"Maquinaria,  herramientas e insumos para toda la industria de la madera en Colombia.",No Responde,SI,andres.ortiz@cubrecol.com.co,Entre 30 y 40,Sí,Sí,Propio,No responde,16,Sí,Acepto,No,Empresario
Cupcake bake shop,Calle 13 n 2 a 35,3102454946,3122078128,Resposteria desayunos y anchetas sorpresa,No Responde,SI,marisolsamaca@hotmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Emprendedor
CYSNUS SAS,"Autopista Medellin Km 2.5, parcelas",3204978588,0,Otro,"Tecnología Informática: Computadores, Escaneres, proyectores, Ploter, Impresoras, accesorios",SI,contacto@cysnus.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
D Cortinas y Acabados,Web,3506667928,3012057927,Otro,Venta de Cortinas y personas accesorio,SI,dcortinasyacabados@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
D.Soluciones Inmobiliarias S.A.S.,Web,3012057927,8985558,Otro,Inmobiliaria Arriendos Ventas Permutas,SI,solucionesinmobiliariasd8@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
D'lupe,Cll 13 #4-66,3115245963,0,Comercializacion de ropa intima para toda la familia incluyendo accesorios y perfumeria,No Responde,SI,Celmy09@hotmail.es,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,9,No,Acepto,No,Comerciante
D'stilos sala de belleza,Carrera 3. 12 - 83,3123137352,0,Estilista,No Responde,SI,Prince-1210@hotmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,4,No,Acepto,No,Micro empresario
D&O TOURISM COLOMBIA,Vda. La Moya Fca. San Luis,3163230455,0,7911 Agencia de viajes,No Responde,NO,Convenios@dyo.com.co,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,Sí,Acepto,No,Micro empresario
Dahlia Repostería,Calle 16 #4 - 31,3112319412,3112319412,Otro,Repostería,SI,linavega80@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Dakota pizzería,Carrera 5#13-33,3212665254,8965903,Restaurante pizzería,No Responde,SI,gabrielacastro28@icloud.com,1 a 5,Sí,Sí,Propio,No responde,15,Sí,Acepto,Sí,Empresario
Dasha Sweet,Calle 7b # 2-63,3133178369,0,Otro,Pastelería Y reposteria creativa.,SI,Sanchezbibiana@yahoo.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
DazaCarnes,Camellon de las flores frente a la entrada municipal del campus,3123967448,0,Restaurante,No Responde,SI,dcbeltran15@misena.edu.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Deditos de queso,La esperanza,3114887003,0,Restaurante,No Responde,SI,Victormarquez_21@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Del Arbol su Fruto,Kra 4 #14-113,3012034365,0,Productor,No Responde,NO,fefo0808@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,Sí,Acepto,No,Micro empresario
Del Hato,Km 2 vía cota - Siberia,3142389928,0,Otro,Venta de Lacteos,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Delicias de mi tía,Cra 5 # 3-30,3004798000,3057101957,Alimentos,No Responde,SI,deliciasdemitia@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,5,No,Acepto,No,Emprendedor
DELTA METALES SAS,CR 5 3-51,3005511363,0,Otro,FERRETERIA,SI,deltametales@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Depósito y Ferretería SAN MIGUEL SAS,Carrera 5 No. 13 A - 81,8640098,3102525624,Otro,Ferretería,NO,deposanmiguel@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Depositogasparin,Carr 5 n 15 58 cota,3138206616,0,Propietario,No Responde,SI,Gasparin@cota.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,12,No,Acepto,No,Comerciante
Derekpits,Kilómetro 1,3107970301,8640515,Mantenimiento vehicular,No Responde,SI,derekromerocano@gmail.com,1,Sí,No,Arrendado,Entre 1.000.000 y 3.000.000,0,No,Acepto,No,Emprendedor
Desayunos para ocasiones especiales,Cota vereda rozo,3144636213,0,Expendio de alimentos y decoración para ocasiones especiales,No Responde,SI,gelita2010@live.com,1 a 5,No,No,Propio,No responde,2,No,Acepto,No,Emprendedor
Detalles Rochy,Calle 13 número 4-60,3118193221,3202001776,Ventas de detalles y accesorios,No Responde,NO,dianarocio.juan@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,No,Acepto,No,Comerciante
Detalles y Sorpresas,Calle 15 No 2b-21,3205626448,3142542563,Ventas de desayunos sorpresas y detalles,No Responde,SI,Camilobarrios200001@gmail.com,1 a 5,No,No,Propio,No responde,1,No,Acepto,No,Emprendedor
Didactikyj. IKYJ,Calle 12 2b-83,3207050291,3105803951,Otro,Juegos infantiles de mesa didácticos,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Distribución productos nikken,"KM 1,5 VARIANTE COTA CHIA",3166920614,0,Otro,"Distribuidor oficial independiente de filtros de agua, filtros de aire, y otros de la marca nikken para el bienestar de las familia.",SI,Carolina.ramirez@krgcontrols.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Distribuidor epps,Suba. Bogotá,3174313742,0,Otro,Distribuidor de epps,SI,Distribuidoreppsbogota@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Distribuidora de Belleza Coco Blue Store,Carrera 6 Nro 14-22 local 104 Cota,3107781343,3105656213,Otro,Productos de Belleza,NO,ialvarezm05@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Distribuidora la esmeralda pintusas,Calle 11 # 5-44,3188805523,3206746406,Código 4663,No Responde,NO,esmeralsasec@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,8,Sí,Acepto,No,Micro empresario
Do it fitness,Carrera 5 # 13-33,3015790496,0,Otro,Gimnasio,NO,Joancito_19@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
DOG SYMPHONY Pet Shop y Spa,Cra 5 #16-45,3102175748,0,Otro,"Venta de alimentos para mascotas, snacks, juguetes y servicio de Spa",SI,dogsymphony19@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Domicilios J2,Cota Cundinamarca,3138356959,3007518527,Otro,Domiciliario,SI,Juanita.cromwel@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Don Huevo,Don Huevo,3213217279,0,Tienda,No Responde,SI,Ibarrahernan45@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
DONCAN,Km 1.5 vía cota-siberia,3209329254,3124676097,Otro,Veterinaria-pet shop,SI,doncanpetcenter@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Donde Aleks,Cra 2#13-25,3208186153,3107547685,Tienda,No Responde,SI,alexander.castro0484@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Donde Mery,Vereda la Moya Sector los Manzanos bajos,3144698477,3203046421,Ventas,No Responde,NO,gracestevez@hotmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,12,No,Acepto,No,Comerciante
Donde Nohe,Calle 14#6-15,3042090112,3222734811,"Venta de ropa, accesorios, zapatos, variedades",No Responde,SI,amnohemicontrerascalvo@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,No,Acepto,No,Emprendedor
Dotaciones ImpleTrab,Cra 5 # 13a78,3114820120,0,Productos de bioseguridad y seguridad industrial,No Responde,SI,sofiaoliveros14@hotmail.com,1 a 5,Sí,Sí,Propio,No responde,12,Sí,Acepto,No,Comerciante
Droguería Milenium,Cra 2 # 10-27,3142484260,0,Farmacias,No Responde,SI,Nidyacaro.p@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Droguería Sonia,Carrera 3 # 12-78 local 1,3152814338,8965912,Farmacias,No Responde,NO,Soniaa1028@yahoo.es,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Dubai Cafe,Conjunto Hacienda Terracota Unidad 32 Local 4-5,3138691406,8640563,Tienda,No Responde,SI,jairo794@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Dubai café y restaurante.,Conjunto Hacienda terracota Unidad 32 local 5,3202439329,0,Venta de cafetería y comidas rápidas,No Responde,SI,jairo794@hotmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Comerciante
Dulce Fashion,Carrera 6 # 13-28 local 103,3138207775,3115467774,Comercialización de prendas de vestir y accesorios,No Responde,SI,correosinfin@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,9,No,Acepto,No,Comerciante
Dulce Majuy tienda de Café Postres y Sandwich,Cra 5 # 1-42 Pueblo Viejo Cota,3133721935,3133721935,Preparación  y venta de alimentos,No Responde,SI,jorge.correa@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,4,No,Acepto,No,Comerciante
Dulce MOR@ Fussion,Vereda el abra sector chonito,3144179376,3143795812,Comestibles,No Responde,SI,luisk.0129@hotmail.com,0,No,No,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Emprendedor
Dulce sabor,Pueblo viejo cerca al ronboy,3138847212,8640269,Otro,Venta de postres y dulces los días sábados y domingos,NO,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Dulcearepa,Cr 5 calle 14 cota centro,3209489350,3186771570,Fabrica y venda de productos alimeticios,No Responde,NO,Lopezoscarin1@outlook com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,9,No,Acepto,No,Micro empresario
Dulceria Cerro Majuy,Carrera 5 n 13 a 35,3212559376,3114454623,Tienda,No Responde,SI,Dianahx_cm@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Dulces sueños,Carrera 5#11-36,3134091902,0,Otro,Pijamas,NO,casoler10@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Dulces y postres  de mi Tierra,Vereda pueblo viejo,3125335267,8640269,Preparación de dulces y postres caseros,No Responde,SI,catalinaarevalotallerista@gmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Emprendedor
Dulces y postres máx,Vereda Pueblo Viejo 1.5km,3204259920,3124672518,Otro,Postres,NO,David75melo@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Dulfie,Vereda Parcelas,3003205115,3003205115,Otro,Licorera artesanal,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Duni. Porteo,Cra 2b#11a-02 casa 8 Caserío de Aranjuez,3105616070,0,Producción portabebés con diseño ergonómico,No Responde,SI,Ventas@duniporteo.com.co,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,5,No,Acepto,No,Emprendedor
E.d.s.Rancho sabana Petromil,Km 4 vía Siberia cota,3108628554,3214652342,Venta y suministro de combustible con servicio de lavado restaurante y montallantas,No Responde,NO,e.s.ranchosabana@hotmail.com,11 a 20,Sí,Sí,Propio,No responde,10,Sí,Acepto,No,Empresario
Ecohábitat SAS,Cra 11 86 38,8965907,3185558067,Otro,Constructora,NO,Constructora@ecohabitatsas.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Edicon Ingenieria SAS,Cra 6 #13-11,3112681950,3105506097,"Interventoria, Consultoria, Estudios y Diseños, Obras de Ingenieria Civil",No Responde,NO,ediconing@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,3,Sí,Acepto,No,Micro empresario
Eduardo telares,Veteda la molla cota cundinamarca .,3166568937,3106072850,Otro,Tejidos en telares manuales,SI,eduardotelares@hot mail .com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Efecty cota alcaldia,Carre 5 # 12 6-5,3195159387,3504429372,Prestacion de servicio giros y postales,No Responde,NO,Icentralcota@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,9,No,Acepto,No,Micro empresario
El cantinazo bar,Avenida libertador. Frente finca los pinos,3125058500,3508445669,Tienda,No Responde,NO,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
El Centeno,Carrera 5 número 9-34 Cota Cundinamarca,3143914104,3153237521,"Venta al mayor y al detal de gas, cerveza, agua , carbón y gaseosa",No Responde,SI,futboll_225@hotmail.com,6 a 10,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,12,No,Acepto,No,Comerciante
EL CERDITO DE LA CORTE LTDA,Cra 5 nro 9 - 68,3107872707,8965967,productor y comercializador de carne de cerdo,No Responde,SI,servicioalcliente@elcerditodelacorte.com.co,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,20,Sí,Acepto,Sí,No Responde
Milu.com,Carrera 5ta # 13A-93,3224070017,3138640875,8299,No Responde,NO,Luchacho075@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,No,Acepto,No,Comerciante
El Chuzzo Grill & Pan,Calle 11 # 6-18,3134052778,3138327413,Restaurante,No Responde,SI,lucho.hernandez2010@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
El Granito de Mostaza,Cra 4 # 12 - 70,3133867480,0,Restaurante,No Responde,SI,marthaconsuelogar@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
El MANA DE SOFÍA,Crr 6 # 13 - 17,3229159777,0,Restaurante,No Responde,SI,Jhoaleons@hotmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,No,Acepto,No,Micro empresario
El Postre Magico,Carrera 5 # 3_46,3203279587,3115777011,Producción y venta de postres y cafe,No Responde,SI,Postremagico@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,7,No,Acepto,No,Comerciante
El rancho de campo,Kilometro 1 via cota suba,3125058500,0,Expendio de alimentos preparados a la  mesa,No Responde,SI,adriana.amo81@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,11,No,Acepto,No,Comerciante
El Rey Del Chorizo Los Mejores De La Sabana,Diagonal 12 # 5-06,3112482348,3138898636,Restaurante,No Responde,SI,Trizhelen1302@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
EL REY DEL CHORIZO/ RAVIOLIS Y LASAÑAS,DIAGOINAL 12 # 05 - 6,3138898636,3163760975,Otro,Comidas rapidas,SI,Paopersan@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
EL SAZÓN DE MARIANA,crr 5 # 15--62,3208028265,0,Restaurante,No Responde,SI,juanse.santos1298@gmail.comm,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,5,No,Acepto,No,Comerciante
El taller de Andre,Diagonal 11 # 4 34,314390801,3879595,Otro,Venta de artesanias. Productos hechos a mano,NO,deisy.delgadofonseca@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
El Taller de los sueños,Calle 4 no.5-95 casa 1,3194680185,3004454675,Elaboración de alcancias en madera y vidrio con mensajes alusivos al ahorro y venta de donuts,No Responde,SI,universalger@gmail.com,1 a 5,Sí,No,Arrendado,Entre 1.000.000 y 3.000.000,5,No,Acepto,No,Emprendedor
EL Y ELLA sala de belleza & barbería,"Vereda de pueblo viejo, calle 11 con carrera 1",8641932,3052943212,"Atención a clientes con servicios de: peluquería, barbería, manicure, pedicure, depilación, maquillaje, entre otros servicios relacionados con el cuidado personal",No Responde,SI,elyellasaladebelleza@gmail.com,6 a 10,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,3,Sí,Acepto,No responde,Empresario
Electricidad,Calle 11 2ab67,3124520147,3114746018,Otro,Electricista,SI,Ghh1977-@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Elvis Rodriguez asesoría de Imagen,Centro Comercial meridiano cita local 10,3173670086,3113448387,Otro,Spa y peluquería,NO,gerencia@lexmana.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Empanadas de la Cima - Tienda de Cafe - Restaurante,Carrera 5 No. 12-51,8787715,3005393138,Restaurante,No Responde,SI,lacimacota@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
En casa,El abra,3142408628,3142408628,Tienda,No Responde,NO,Yennigaleano28@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Encantadoras eventos,Variante Cota palo de agua B4,3118122053,8414130,"Servicio de decoración, suministro de alimentos",No Responde,SI,Ximenafb7@hotmail.com,1 a 5,Sí,No,Arrendado,Menor a 1.000.000,12,No,Acepto,No,Emprendedor
Ernesto Rodríguez Palma,Parcelas de cota,3157933886,3157933886,Servicios legales ambiental penal,No Responde,SI,Erodrigp@yahoo.com,1 a 5,Sí,Sí,Propio,No responde,20,Sí,Acepto,No,Comerciante
Escense Estética y Belleza,Calle 13 A # 3 - 90,3202694220,8641439,Otro,Estética y productos de belleza,NO,Luz_darylopez@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Escuela de ballet La casa de Ita.,Calle 8 # 4 - 06,3213043373,0,Otro,Escuela de formación en ballet y artes escénicas.,NO,marmolejom823@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Espiritual Spa,Carrera 3#11-116centro,8640436,31027999006,Otro,SPA,NO,gustavorozco1@ Hotmail.es,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Estilo -B-,Carrera 5 No 11 - 45 local 01,3102216403,3123459161,Otro,Venta ropa,NO,Carlosavella60@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Estilo Cosmeticos,Cra 5 N.10-24,3123719204,0,Otro,"Distribuidora de Cosmeticos, productos de belleza y aseo personal",NO,luzstellapc@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Eventos la explocion,Calle 9 # 9-46,3102180819,3208264494,Otro,Eventos y tatuajes,SI,Ajsanchez78@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Eventos Rubén caceres,Cra 2 #13-02,3006137340,8641744,Restaurante,No Responde,SI,Rubenchocas1@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Evolución eventos y logística sas,Calle 17 #2-70,3133837073,3042011879,Otro,Eventos,SI,Grupoevolucionsas@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Expo tennis cota,Cra 5#11 63,3214178859,3008322469,venta de calzado para toda la familia,No Responde,SI,Sanyojan2010@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,9,Sí,Acepto,No,Comerciante
Punto de los remates,Calle 14#6_88,3046098272,3443480912,Vendedor,No Responde,NO,Andrea.hernandezc9@gmail.com,Ninguno,Sí,Sí,Arrendado,Menor a 1.000.000,10,No,Acepto,No,Comerciante
Express Oil SAS,Kr 5 N 16-38,3134963676,3123655913,Venta al por menor de filtros y aceite para vehículos automotores,No Responde,NO,expressoilsas@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,10,Sí,Acepto,No,Micro empresario
FARMACOTA,CARRERA 5 #15-01 LOCAL 101,3204627395,3204767615,Farmacias,No Responde,SI,farmacota@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Ferburguer,Cra 5 n 10- 24,3015336345,3222217552,Otro,Comidas rapidad,NO,Sanfer.sanfer@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Ferrelectricos JJ,Cra. 5 # 3-51,3143584968,3115196086,Venta por menor de artículos de ferretería,No Responde,NO,jannethl.317@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,2,No,Acepto,No,Micro empresario
Ferreteria Charlotte sas,Calle 11 #3-14,3112652861,0,Comercio al por menor articulos de la construccion,No Responde,SI,ferreteriacharlotte@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,14,Sí,Acepto,No,Micro empresario
Ferretería dismat de colombia,Carrera 5 # 3-53,3124484456,3227842806,Otro,Ferretería,SI,dismatdecolombia@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
FERRETERIA SIBERIA,GLORIETA DE SIBERIA. KILOMETRO 5 VIA A MEDELLIN.,3114910971,0,Otro,FERRETERIA. DEPOSITO DE MATERIALES,SI,FERRE.SIBERIA@GMAIL.COM,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Ferretería y miscelanea la 14,Cra 5 # 14-00,3134575343,3134575339,Venta artículos de ferreteria,No Responde,SI,Ferchoavilam01@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,10,No,Acepto,No,Comerciante
Filetes Parrilla,"Variante de Cota, Centro Comercial Dacota Plaza.",8787719,3163049779,Restaurante,No Responde,SI,profitcolombia@yahoo.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
FISH JJ,CLL 10 # 4-68,3133021666,3107576162,Restaurante,No Responde,SI,Mayris.flak_9@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3,Sí,Acepto,No,Emprendedor
Fitness and health form,Cra5 # 12-75,3183199156,0,Otro,Sala de entrenamiento fisico,NO,Fitnessandhealthform@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Five stars barber shop,Calle 11 #5-33,3014115242,3213920699,Corte para caballero,No Responde,SI,Katolca_92@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,4,No,Acepto,No,Emprendedor
